SITE_SOURCE_ID;SITE_NAME;WEB_IMAGES;IMAGE_COUNT;SOURCE_PDFS
drive-10a5876c2201;Gua Pawon Desa Gunung Masigit;;0;HomininDiversity_WestIndonesia.pdf | PawonMan.pdf
drive-4c974843ddf1;Gua Pawon Indikasi;/iiif/manifests/sites/drive-4c974843ddf1.json;2;Warisan Budaya Maritim Nusantara by Supratikno Rahardjo, Nies Anggraeni, Titi Surti Nastiti, Wiwin Djuwita Ramelan (z-lib.org).pdf
drive-8db68ebb759e;Gua Pawon Java Radiocarbon;;0;2020KaharudinetalIndoCaves.pdf | ListCavesRockshelters.pdf
drive-b7c2252699f3;Gua Pawon Pengungkapan;/iiif/manifests/sites/drive-b7c2252699f3.json;1;Warisan Budaya Maritim Nusantara by Supratikno Rahardjo, Nies Anggraeni, Titi Surti Nastiti, Wiwin Djuwita Ramelan (z-lib.org).pdf
drive-33e7cc83157c;Gua Pawon. Berdasarkan;;0;Warisan Budaya Maritim Nusantara by Supratikno Rahardjo, Nies Anggraeni, Titi Surti Nastiti, Wiwin Djuwita Ramelan (z-lib.org).pdf
drive-a9522ebb9382;Gua Pawon. Keberadaan;/iiif/manifests/sites/drive-a9522ebb9382.json;1;Warisan Budaya Maritim Nusantara by Supratikno Rahardjo, Nies Anggraeni, Titi Surti Nastiti, Wiwin Djuwita Ramelan (z-lib.org).pdf
drive-40551436c08b;Gua Pawon. Untuk;;0;Warisan Budaya Maritim Nusantara by Supratikno Rahardjo, Nies Anggraeni, Titi Surti Nastiti, Wiwin Djuwita Ramelan (z-lib.org).pdf
drive-f332b2d66bd6;Gua Payung Kalimantan Radiocarbon;;0;2020KaharudinetalIndoCaves.pdf | ListCavesRockshelters.pdf
drive-3c3bceb665ef;Gua Pemakaman De;/iiif/manifests/sites/drive-3c3bceb665ef.json;2;Borneo_Menyingkap_gua_prasejarah.pdf
drive-cd749d58000b;Gua Perahu Java Radiocarbon;;0;2020KaharudinetalIndoCaves.pdf | ListCavesRockshelters.pdf
drive-d7521c304a6d;Gua Peturon Java Radiocarbon;;0;2020KaharudinetalIndoCaves.pdf | ListCavesRockshelters.pdf
drive-6c008c24829f;Gua Pominsa In;;0;StencilsBoatsMunaIsland.pdf | archaeologysulawesi.pdf
drive-6feb1d66ddc5;Gua Pominsa. Source;/iiif/manifests/sites/drive-6feb1d66ddc5.json;3;StencilsBoatsMunaIsland.pdf | archaeologysulawesi.pdf
drive-5e96a54e77a2;Gua Pondoa. A;;0;archaeologysulawesi.pdf
drive-7080b9d7e551;Gua Pondoa. Although;;0;archaeologysulawesi.pdf
drive-294926a103b7;Gua Pondoa. And;;0;archaeologysulawesi.pdf
drive-86e8ea5f6456;Gua Pondoa. As;;0;archaeologysulawesi.pdf
drive-725720cb77eb;Gua Pondoa. Spread;;0;archaeologysulawesi.pdf
drive-58541e9f96d4;Gua Pondoa. The;;0;archaeologysulawesi.pdf
drive-6d54e241d0c3;Gua Pondok Selabe I Sumatra Radiocarbon;;0;2020KaharudinetalIndoCaves.pdf | ListCavesRockshelters.pdf
drive-d944dce7a259;Gua Prasejarah Di Maros Pangkep;;0;Uncovering the chemistry of color change in rock art in Leang Tedongnge.pdf
drive-25ef87f0235d;Gua Prasejarah Kars Maros Pangkep. Unpublished;;0;archaeologysulawesi.pdf
drive-455d95d8179f;Gua Prasejarah Maros;;0;Gua Uhalie_Sulawesi_cave art.pdf | Uncovering the chemistry of color change in rock art in Leang Tedongnge.pdf
drive-48cdf6da78e3;Gua Prasejarah Pangkep;;0;
drive-cbed928f4a61;Gua Prasejarah Pangkep-Maros Sulawesi Selatan;;0;RockArtPreserv.pdf
drive-11a0d2f136b0;Gua Prasejarah. Jakarta;;0;StencilsBoatsMunaIsland.pdf | archaeologysulawesi.pdf
