SITE_SOURCE_ID;SITE_NAME;LOCALISATION;GEONAME_ID;PROJECTION_SYSTEM;LONGITUDE;LATITUDE;ALTITUDE;CITY_CENTROID;STATE_OF_KNOWLEDGE;OCCUPATION;STARTING_PERIOD;ENDING_PERIOD;MAIN_CHARAC;CHARAC_LVL1;CHARAC_LVL2;CHARAC_LVL3;CHARAC_LVL4;CHARAC_EXP;BIBLIOGRAPHY;COMMENTS
IPAD_331;Bubuka;Maros-Pangkep | South Sulawesi;;4326;119.582611;-4.830972;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;;Alternative_Name: Leang Bubuka
IPAD_332;Leang Sumpangbita;Maros-Pangkep | South Sulawesi;;4326;119.5825;-4.916111;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;;The cave has three chambers, namely (1) Chamber A with a dimension of 25 meters long, 9 meters wide, and 5 meters high; (2) Chamber B is 16 meters long, 7.5 meters wide, and 3 meters high; and (3) Chamber C, which is 6 meters in length, 3 meters in width, and 2.5 meters in height. The rock art images consisted of hand stencils, images of boars, boats and anoas as well as stone tool fragments, molluscan shells and animal bones. Several hand stencil images have deteriorated and only 81 images were identifiable, which are scattered in Chamber A, B and Chamber C. The images of boars, anoas and boats spread along 3 meters were drawn on the right wall of Chamber A.
IPAD_334;Leang Bulu Sumi;Maros-Pangkep | South Sulawesi;;4326;119.602778;-4.7025;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;;The cave mouth is 6 meters wide and 5 meters high and has only one chamber, which is 4 meters long, 6 meters wide and 4 meters high. Many hand stencils, stone tools fragments and molluscan shells were found in this site. The rock art in this niche have mostly deteriorated, therefore only nine images are clearly visible and identifiable. These images are located on the rear side of the cave wall and on the ceiling. There were eight images on the rear wall consisting of three images that are positioned 4 meters from the niche mouth and 4 meters high, while the other four images were positioned at the same distance from the niche mouth but only 3 meters high. Meanwhile, there is one image on the ceiling positioned 1 meter from the niche mouth and 1.5 meters high. | Alternative_Name: Leang Bulusumi
IPAD_335;Leang Garunggung;Maros-Pangkep | South Sulawesi;;4326;119.611667;-4.806667;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;;This cave has two chambers, i.e. Chamber A, which is 20 meters long, 22 meters wide and 10 meters high; and Chamber B is 13 meters in length, 5.4 meters in width and 6 meters in height. Hand stencil images, stone tools fragments and molluscan shells were also discovered in this cave. Many of the hand stencils have deteriorated, but 48 images were identifiable that are scattered both in Chamber A and Chamber B.
IPAD_336;Leang Cumi Lantang;Maros-Pangkep | South Sulawesi;;4326;119.616111;-4.813333;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;;The cave mouth is 20 meters wide and 15 meters high and this cave consists of 3 chambers, namely, (1) Chamber A which is 15 meters in length, 20 meters in width and 13 meters in height; (2) Chamber B is 7.5 meters long, 9 meters wide and 13 meters high; and (3) Chamber C has a dimension of 6 meters in length, 1.5 meters in width and 10 meters in height. Many hand stencils, stone tools fragments and molluscan shells were found in this cave. The hand stencils that were identifiable totaled to 47 images and were drawn only in Chamber A on the left wall and on the ceiling while the other images were no longer recognizable.
IPAD_337;Gua Maccina;Maros-Pangkep | South Sulawesi;;4326;119.613333;-4.803333;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;;Alternative_Name: Leang Maccina
IPAD_338;Leang Saluka;Maros-Pangkep | South Sulawesi;;4326;119.615833;-4.816111;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;;Hand stencil images, stone tools fragments and molluscan shells were found in this site. Many of the existing hand stencils have deteriorated and only 33 images were identifiable which were positioned on the rear wall and on the ceiling.
IPAD_339;Gua Pamelakang Tedong;Maros-Pangkep | South Sulawesi;;4326;119.521667;-4.798333;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;;Alternative_Name: Leang Pamelakangtedong
IPAD_340;Gua Lasitae;Maros-Pangkep | South Sulawesi;;4326;119.525;-4.794444;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;;Alternative_Name: Leang Lasitae
IPAD_341;Gua Pabujangang;Maros-Pangkep | South Sulawesi;;4326;119.526944;-4.797222;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;;Alternative_Name: Leang Pabujangang
IPAD_343;Gua Bawię;Maros-Pangkep | South Sulawesi;;4326;119.602833;-4.847361;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;;Alternative_Name: Leang Bawie
IPAD_344;Gua Biring Ere;Maros-Pangkep | South Sulawesi;;4326;119.613333;-4.78;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;;Alternative_Name: Leang Biring Ere
IPAD_345;Gua Buto;Maros-Pangkep | South Sulawesi;;4326;119.584722;-4.831194;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;;Alternative_Name: Leang Buto
IPAD_346;Gua Pattennung;Maros-Pangkep | South Sulawesi;;4326;119.592694;-4.835444;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;;Alternative_Name: Leang Pattennung
IPAD_347;Gua Alla Pusae;Maros-Pangkep | South Sulawesi;;4326;119.671139;-4.986694;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;;Alternative_Name: Leang Alla Pusae
IPAD_348;Gua Alle Bireng;Maros-Pangkep | South Sulawesi;;4326;119.682889;-4.971139;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;;Alternative_Name: Leang Alle Bireng
IPAD_355;Leang Balimukang;Maros-Pangkep | South Sulawesi;;4326;119.658333;-4.999444;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;;
IPAD_356;Leang Batu Karope;Maros-Pangkep | South Sulawesi;;4326;119.6625;-4.995278;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;;
IPAD_357;Leang Bara Tedong;Maros-Pangkep | South Sulawesi;;4326;119.685556;-4.980278;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;;
