IDArkeoGIS;CARAC_NAME;CARAC_LVL1;CARAC_LVL2;CARAC_LVL3;CARAC_LVL4;IdArk;IdPactols;IdAat
437;Production;Métal;Atelier monétaire;Argent;Local;https://ark.frantiq.fr/ark:/26678/pcrthOtrQhBIUG;13991;http://vocab.getty.edu/page/aat/300061886
438;Production;Métal;Atelier monétaire;Argent;Régional;https://ark.frantiq.fr/ark:/26678/pcrthOtrQhBIUG;13991;http://vocab.getty.edu/page/aat/300061886
439;Production;Métal;Atelier monétaire;Bronze;;http://ark.frantiq.fr/ark:/26678/pcrtjzKlry0LZi;13652;http://vocab.getty.edu/page/aat/300010957
440;Production;Métal;Atelier monétaire;Bronze;Local;https://ark.frantiq.fr/ark:/26678/pcrthOtrQhBIUG;13991;http://vocab.getty.edu/page/aat/300061886
441;Production;Métal;Atelier monétaire;Bronze;Régional;https://ark.frantiq.fr/ark:/26678/pcrthOtrQhBIUG;13991;http://vocab.getty.edu/page/aat/300061886
442;Production;Métal;Atelier monétaire;Or;;http://ark.frantiq.fr/ark:/26678/pcrtuihSl3eSnW;15995;http://vocab.getty.edu/page/aat/300011021
443;Production;Métal;Atelier monétaire;Or;Local;https://ark.frantiq.fr/ark:/26678/pcrthOtrQhBIUG;13991;http://vocab.getty.edu/page/aat/300061886
444;Production;Métal;Atelier monétaire;Or;Régional;https://ark.frantiq.fr/ark:/26678/pcrthOtrQhBIUG;13991;http://vocab.getty.edu/page/aat/300061886
445;Production;Métal;Atelier monétaire;Cuivre;;http://ark.frantiq.fr/ark:/26678/pcrt16pnvNar4g;14200;http://vocab.getty.edu/page/aat/300011020
446;Production;Métal;Atelier monétaire;Cuivre;Local;https://ark.frantiq.fr/ark:/26678/pcrthOtrQhBIUG;13991;http://vocab.getty.edu/page/aat/300061886
447;Production;Métal;Atelier monétaire;Cuivre;Régional;https://ark.frantiq.fr/ark:/26678/pcrthOtrQhBIUG;13991;http://vocab.getty.edu/page/aat/300061886
448;Production;Métal;Atelier monétaire;Autres;;;;
449;Production;Métal;Atelier monétaire;Autres;Local;https://ark.frantiq.fr/ark:/26678/pcrthOtrQhBIUG;13991;http://vocab.getty.edu/page/aat/300061886
450;Production;Métal;Atelier monétaire;Autres;Régional;https://ark.frantiq.fr/ark:/26678/pcrthOtrQhBIUG;13991;http://vocab.getty.edu/page/aat/300061886
451;Production;Pierre;;;;http://ark.frantiq.fr/ark:/26678/pcrtSVdwKcS3MI;16689;http://vocab.getty.edu/page/aat/300011692
452;Production;Pierre;Atelier;;;https://ark.frantiq.fr/ark:/26678/pcrt9WrayiIQys;13457;http://vocab.getty.edu/page/aat/300053149
453;Production;Pierre;Atelier;Meule;;http://ark.frantiq.fr/ark:/26678/pcrt1Gqf0UzaZ3;15649;http://vocab.getty.edu/page/aat/300185256
454;Production;Pierre;Atelier;Meule;Grès;http://ark.frantiq.fr/ark:/26678/pcrtR1s94Zuaul;14936;http://vocab.getty.edu/page/aat/300011376
455;Production;Pierre;Atelier;Meule;Calcaire;http://ark.frantiq.fr/ark:/26678/pcrtc1Ueky7Zpg;13704;http://vocab.getty.edu/page/aat/300011286
456;Production;Pierre;Atelier;Meule;Basalte;http://ark.frantiq.fr/ark:/26678/pcrtctuE9VNJOc;13541;http://vocab.getty.edu/page/aat/300011222
457;Production;Pierre;Atelier;Meule;Rhyolite;http://ark.frantiq.fr/ark:/26678/pcrtXVZBob53by;27632;http://vocab.getty.edu/page/aat/300011211
458;Production;Pierre;Atelier;Meule;Silex;http://ark.frantiq.fr/ark:/26678/pcrtIzSUofuocv;16943;http://vocab.getty.edu/page/aat/300011143
459;Production;Pierre;Atelier;Meule;Autres;;;
460;Production;Pierre;Atelier;Architecture;;http://ark.frantiq.fr/ark:/26678/pcrt9WrayiIQys;13457;http://vocab.getty.edu/page/aat/300264383
461;Production;Pierre;Atelier;Architecture;Grès;http://ark.frantiq.fr/ark:/26678/pcrtR1s94Zuaul;14936;http://vocab.getty.edu/page/aat/300011376
