path,name,id,target_id,mime_type,resource_key,is_folder,is_pdf,size,modified_time,web_view_link
1969SSulawesiExped.pdf,1969SSulawesiExped.pdf,1fNks6KorC9lI7WbpLKm8v89Kp8AIgX0K,1fNks6KorC9lI7WbpLKm8v89Kp8AIgX0K,application/pdf,,no,yes,381485,2021-11-09T10:03:05.000Z,https://drive.google.com/file/d/1fNks6KorC9lI7WbpLKm8v89Kp8AIgX0K/view?usp=drivesdk
1995_The_Ngorek_Lithic_and_megalithic_tr.pdf,1995_The_Ngorek_Lithic_and_megalithic_tr.pdf,171g2Doitj1X2AyDXF1G8dhjeC-V6_nU2,171g2Doitj1X2AyDXF1G8dhjeC-V6_nU2,application/pdf,,no,yes,151218,2022-01-05T10:08:11.000Z,https://drive.google.com/file/d/171g2Doitj1X2AyDXF1G8dhjeC-V6_nU2/view?usp=drivesdk
2008-ASJ-Homo-floresiensis.pdf,2008-ASJ-Homo-floresiensis.pdf,1drHJSB3YpXs_HCKr5lKs2V5mBd0-EoB7,1drHJSB3YpXs_HCKr5lKs2V5mBd0-EoB7,application/pdf,,no,yes,704975,2021-11-15T14:57:53.000Z,https://drive.google.com/file/d/1drHJSB3YpXs_HCKr5lKs2V5mBd0-EoB7/view?usp=drivesdk
2016_The_Ngorek_of_the_central_highlands.pdf,2016_The_Ngorek_of_the_central_highlands.pdf,1b1pXtH70QSlE0opi3jAg4sV45rk6pR3S,1b1pXtH70QSlE0opi3jAg4sV45rk6pR3S,application/pdf,,no,yes,4387662,2022-01-01T12:11:31.000Z,https://drive.google.com/file/d/1b1pXtH70QSlE0opi3jAg4sV45rk6pR3S/view?usp=drivesdk
2020KaharudinetalIndoCaves.pdf,2020KaharudinetalIndoCaves.pdf,1DYRJwrWTwJst5kVH9sq4HFPTPSMFk0wS,1DYRJwrWTwJst5kVH9sq4HFPTPSMFk0wS,application/pdf,,no,yes,2108487,2022-01-14T14:01:40.000Z,https://drive.google.com/file/d/1DYRJwrWTwJst5kVH9sq4HFPTPSMFk0wS/view?usp=drivesdk
2020OConnoretal.KisarRockart2JIPA.pdf,2020OConnoretal.KisarRockart2JIPA.pdf,1jfqgAQ5lY0AURRUpqujmLcuD01fsySQq,1jfqgAQ5lY0AURRUpqujmLcuD01fsySQq,application/pdf,,no,yes,2057510,2022-01-14T14:01:43.000Z,https://drive.google.com/file/d/1jfqgAQ5lY0AURRUpqujmLcuD01fsySQq/view?usp=drivesdk
81123-ID-upacara-manee-pada-masyarakat-kakorotan.pdf,81123-ID-upacara-manee-pada-masyarakat-kakorotan.pdf,1JxRZa_d5xhXuczLaNifZMy87XRGTyagj,1JxRZa_d5xhXuczLaNifZMy87XRGTyagj,application/pdf,,no,yes,183623,2022-01-12T18:28:31.000Z,https://drive.google.com/file/d/1JxRZa_d5xhXuczLaNifZMy87XRGTyagj/view?usp=drivesdk
88665-2.pdf,88665-2.pdf,1b0BE-a5MYp_wrKeycP3rHPkBavG4BiEY,1b0BE-a5MYp_wrKeycP3rHPkBavG4BiEY,application/pdf,,no,yes,748199,2025-04-25T10:54:20.529Z,https://drive.google.com/file/d/1b0BE-a5MYp_wrKeycP3rHPkBavG4BiEY/view?usp=drivesdk
88724-2.pdf,88724-2.pdf,1uMHeB6kitfzNZI8PaFyV9_sm-kkPWdfB,1uMHeB6kitfzNZI8PaFyV9_sm-kkPWdfB,application/pdf,,no,yes,4064831,2025-04-25T10:54:23.316Z,https://drive.google.com/file/d/1uMHeB6kitfzNZI8PaFyV9_sm-kkPWdfB/view?usp=drivesdk
88744-3.pdf,88744-3.pdf,1kwIvfCNB5KzhkB1evFMdddmZh9-6k98p,1kwIvfCNB5KzhkB1evFMdddmZh9-6k98p,application/pdf,,no,yes,3638560,2025-04-25T10:54:27.582Z,https://drive.google.com/file/d/1kwIvfCNB5KzhkB1evFMdddmZh9-6k98p/view?usp=drivesdk
89412-2.pdf,89412-2.pdf,1cpRHyE_37nVxTvm0ImvM9n4mLzdVQfPR,1cpRHyE_37nVxTvm0ImvM9n4mLzdVQfPR,application/pdf,,no,yes,6528426,2025-04-25T10:54:35.156Z,https://drive.google.com/file/d/1cpRHyE_37nVxTvm0ImvM9n4mLzdVQfPR/view?usp=drivesdk
441559a.pdf,441559a.pdf,1k1ItoFxgXD8DaBfc0_6ezEVIvZYyQSdC,1k1ItoFxgXD8DaBfc0_6ezEVIvZYyQSdC,application/pdf,,no,yes,4405289,2023-09-18T23:05:10.000Z,https://drive.google.com/file/d/1k1ItoFxgXD8DaBfc0_6ezEVIvZYyQSdC/view?usp=drivesdk
