SITE_SOURCE_ID;SITE_NAME;LOCALISATION;GEONAME_ID;PROJECTION_SYSTEM;LONGITUDE;LATITUDE;ALTITUDE;CITY_CENTROID;STATE_OF_KNOWLEDGE;OCCUPATION;STARTING_PERIOD;ENDING_PERIOD;MAIN_CHARAC;CHARAC_LVL1;CHARAC_LVL2;CHARAC_LVL3;CHARAC_LVL4;CHARAC_EXP;BIBLIOGRAPHY;COMMENTS;WEB_IMAGES
0abaa301-9441-4f48-ae05-ae6c7fe97761;Gua Sassang;South Sulawesi | Biraeng, Minasatene, Pangkajene and Islands Regency, South Sulawesi | Maros-Pangkep,Sapiria;;4326;119.595;-4.846667;;No;Not documented;Not specified;Undefined;Undefined;Realestate;Ritual;;;;No;;Alternative_Name: Leang Sassang;
200a47a8-e9c0-4d23-8e0a-7cb7b6096c27;Gua Tanarajae;South Sulawesi | Biraeng, Minasatene, Pangkajene and Islands Regency, South Sulawesi | Maros-Pangkep,Sapiria;;4326;119.596667;-4.8375;;No;Not documented;Not specified;Undefined;Undefined;Realestate;Ritual;;;;No;;Alternative_Name: Leang Tanarajae;
43963a71-1737-4a6c-ab45-03f37b633a84;Gua Tinggia;South Sulawesi | Biraeng, Minasatene, Pangkajene and Islands Regency, South Sulawesi | Maros-Pangkep;;4326;119.586667;-4.83;;No;Not documented;Not specified;Undefined;Undefined;Realestate;Ritual;;;;No;;Alternative_Name: Leang Tinggia;
d993c573-b4a1-4183-83c7-0419cf1f2403;Gua Tuka;South Sulawesi | Minasatene, Pangkajene and Islands Regency, South Sulawesi | Maros-Pangkep;;4326;119.5825;-4.8275;;No;Not documented;Not specified;Undefined;Undefined;Realestate;Ritual;;;;No;;Alternative_Name: Leang Tuka;
decc65fc-5554-4ddd-a37c-2188487705f4;Gua Ujung;South Sulawesi | Maros-Pangkep,Sakapa;;4326;119.595278;-4.843333;;No;Not documented;Not specified;Undefined;Undefined;Realestate;Ritual;;;;No;;Alternative_Name: Leang Ujung;
09026e68-744e-4036-b910-1b42f67113f0;Gua Ulu Tedong;South Sulawesi | Panaikang, Minasatene, Pangkajene and Islands Regency, South Sulawesi | Maros-Pangkep;;4326;119.605556;-4.861667;;No;Not documented;Not specified;Undefined;Undefined;Realestate;Ritual;;;;No;;Alternative_Name: Leang Ulu Tedong;
947b7a4b-4f18-4c92-a599-bf7c8dfa3777;Bubuka;South Sulawesi | Jl. Leangkassi, Minasa Tene, Kec. Minasatene, Kabupaten Pangkajene Dan Kepulauan, Sulawesi Selatan 90614 | Maros-Pangkep,Kassi;;4326;119.582611;-4.830972;;No;Not documented;Not specified;Undefined;Undefined;Realestate;Ritual;;;;No;;Alternative_Name: Leang Bubuka;
ef451a2f-7bbf-4b44-80eb-533236c9e9d8;Gua Sumpangbita;South Sulawesi | Maros-Pangkep,Sumpangbita;;4326;119.5825;-4.916111;;No;Not documented;Not specified;Undefined;Undefined;Realestate;Ritual;;;;No;;Alternative_Name: Leang Sumpangbita;
93c5f973-0f54-46ec-8288-38267110ae89;Gua Bulu Sumi;South Sulawesi | Maros-Pangkep,Sumpangbita;;4326;119.5825;-4.916111;;No;Not documented;Not specified;Undefined;Undefined;Realestate;Ritual;;;;No;;Alternative_Name: Leang Bulu Sumi;
400fea12-f1f3-4f48-b009-75d052c0f1f0;Gua Bulu Sumi;South Sulawesi | Alesipitto, Ma'rang, Pangkajene and Islands Regency, South Sulawesi | Maros-Pangkep;;4326;119.602778;-4.7025;;No;Not documented;Not specified;Undefined;Undefined;Realestate;Unknown;;;;No;;Alternative_Name: Leang Bulusumi;
d73819fd-1d14-471d-ae34-1a86a0d36b62;Gua Garunggung;South Sulawesi | Bontoa, Minasatene, Pangkajene and Islands Regency, South Sulawesi | Maros-Pangkep,Garunggung;;4326;119.611667;-4.806667;;No;Not documented;Not specified;Undefined;Undefined;Realestate;Ritual;;;;No;;Alternative_Name: Leang Garunggung;
148d67a3-d261-47df-b02d-85acbf90b71b;Gua Cumi Lantang;South Sulawesi | Bontoa, Minasatene, Pangkajene and Islands Regency, South Sulawesi | Maros-Pangkep,Garunggung;;4326;119.616111;-4.813333;;No;Not documented;Not specified;Undefined;Undefined;Realestate;Ritual;;;;No;;Alternative_Name: Leang Cumi Lantang;
0b6dfef5-4965-48b6-97a3-e7777cc4d8d8;Gua Maccina;South Sulawesi | Bontoa, Minasatene, Pangkajene and Islands Regency, South Sulawesi | Maros-Pangkep,Garunggung;;4326;119.613333;-4.803333;;No;Not documented;Not specified;Undefined;Undefined;Realestate;Ritual;;;;No;;Alternative_Name: Leang Maccina;
b294059c-52bb-4479-89f3-994177ea1d19;Gua Saluka;South Sulawesi | Kalabbirang, Minasatene, Pangkajene and Islands Regency, South Sulawesi | Garunggung,Maros-Pangkep;;4326;119.615833;-4.816111;;No;Not documented;Not specified;Undefined;Undefined;Realestate;Ritual;;;;No;;Alternative_Name: Leang Saluka;
031b937e-3222-4ebd-8d79-ab8f0702804f;Gua Pamelakang Tedong;South Sulawesi | Bowong Cindea, Bungoro, Pangkajene and Islands Regency, South Sulawesi | Maros-Pangkep,Lasitae;;4326;119.521667;-4.798333;;No;Not documented;Not specified;Undefined;Undefined;Realestate;Ritual;;;;No;;Alternative_Name: Leang Pamelakangtedong;
07a99665-c107-493e-a329-011c2916987e;Gua Lasitae;South Sulawesi | Bowong Cindea, Bungoro, Pangkajene and Islands Regency, South Sulawesi | Maros-Pangkep,Lasitae;;4326;119.525;-4.794444;;No;Not documented;Not specified;Undefined;Undefined;Realestate;Ritual;;;;No;;Alternative_Name: Leang Lasitae;
71a9872c-2506-4ae8-b845-12070a117d6c;Gua Pabujangang;South Sulawesi | Bowong Cindea, Bungoro, Pangkajene and Islands Regency, South Sulawesi | Maros-Pangkep,Lasitae;;4326;119.526944;-4.797222;;No;Not documented;Not specified;Undefined;Undefined;Realestate;Ritual;;;;No;;Alternative_Name: Leang Pabujangang;
