filename,pdf_path,pages,text_chars,ocr_confidence,date_processed
Documenting and Revitalizing Austronesian Languages (D. Victoria Rau and Margaret Florey (eds.)) (Z-Library),data/google-drive-pdfs/Documenting and Revitalizing Austronesian Languages (D. Victoria Rau and Margaret Florey (eds.)) (Z-Library).pdf,257,661623,0.00,2026-03-25T20:17:49.594404
Dong Son Drums_Isotope,data/google-drive-pdfs/Dong Son Drums_Isotope.pdf,18,77486,0.00,2026-03-25T20:17:49.594860
DongSonChina,data/google-drive-pdfs/DongSonChina.pdf,27,0,0.00,2026-03-25T20:17:49.595035
DongSonDrums,data/google-drive-pdfs/DongSonDrums.pdf,13,48960,0.00,2026-03-25T20:17:49.595379
EIndonesia_Paleolithic,/Users/cataivancov/IdeaProjects/arke-platform/data/google-drive-pdfs/EIndonesia_Paleolithic.pdf,14,30393,89.20,2026-03-25T20:17:49.595667
EKalimantan_CavesMesolithicBurials,data/google-drive-pdfs/EKalimantan_CavesMesolithicBurials.pdf,8,16431,0.00,2026-03-25T20:17:49.595937
ERA_BARU_DALAM_KEMITRAAN_PENGELOLAAN_CAGAR_BUDAYA_,data/google-drive-pdfs/ERA_BARU_DALAM_KEMITRAAN_PENGELOLAAN_CAGAR_BUDAYA_.pdf,12,51806,0.00,2026-03-25T20:17:49.596393
EarliestRiceFarming,data/google-drive-pdfs/EarliestRiceFarming.pdf,9,31896,0.00,2026-03-25T20:17:49.596761
Early modern human migration into Sulawesi and Island adaptation in Wallacea,data/google-drive-pdfs/Early modern human migration into Sulawesi and Island adaptation in Wallacea.pdf,16,48433,0.00,2026-03-25T20:17:49.597143
EarlyRiceCultivationSumatra,data/google-drive-pdfs/EarlyRiceCultivationSumatra.pdf,29,92843,0.00,2026-03-25T20:17:49.597587
Early_Traces_Hindu_Buddhist_Influence_Al,data/google-drive-pdfs/Early_Traces_Hindu_Buddhist_Influence_Al.pdf,18,60330,0.00,2026-03-25T20:17:49.597924
Early_ground_axe_technology_in_Wallacea_The_first_,data/google-drive-pdfs/Early_ground_axe_technology_in_Wallacea_The_first_.pdf,26,74014,0.00,2026-03-25T20:17:49.598258
