candidate_type,dataset,SITE_SOURCE_ID_1,SITE_NAME_1,LONGITUDE_1,LATITUDE_1,SITE_SOURCE_ID_2,SITE_NAME_2,LONGITUDE_2,LATITUDE_2,notes
cross_dataset_same_coords,V3+V4,18ab496a-1bf5-44ad-b041-87f2608a9d75,Pedawa 5,115.04989,-8.23575,2a16f0e1-8081-47bb-93d4-e8df25893b43, Pedawa 4                          ,115.04989,-8.23575,Same coordinates across datasets
cross_dataset_same_coords,V3+V4,18ab496a-1bf5-44ad-b041-87f2608a9d75,Pedawa 5,115.04989,-8.23575,18ab496a-1bf5-44ad-b041-87f2608a9d75, Pedawa 5                          ,115.04989,-8.23575,Same coordinates across datasets
cross_dataset_same_coords,V3+V4,b3cc5856-1d0f-464f-bb64-9cffedd9ae31,Pedawa 6,115.02381,-8.23139,b3cc5856-1d0f-464f-bb64-9cffedd9ae31, Pedawa 6                          ,115.02381,-8.23139,Same coordinates across datasets
cross_dataset_same_coords,V3+V4,c8da4397-0c61-431e-8598-2e43be9a2a0f,Pedawa 7,115.02661,-8.24451,c8da4397-0c61-431e-8598-2e43be9a2a0f, Pedawa 7                          ,115.02661,-8.24451,Same coordinates across datasets
cross_dataset_same_coords,V3+V4,60705f3b-1afc-4835-baca-0211fe3aa27b,Pedawa 8,115.0271,-8.24405,60705f3b-1afc-4835-baca-0211fe3aa27b, Pedawa 8                          ,115.0271,-8.24405,Same coordinates across datasets
cross_dataset_same_coords,V3+V4,248b6e4c-e6af-40c4-a993-068a3763b996,Pedawa 9,115.016,-8.24345,248b6e4c-e6af-40c4-a993-068a3763b996, Pedawa 9                          ,115.016,-8.24345,Same coordinates across datasets
cross_dataset_same_coords,V3+V4,b5897a2b-3e8f-4f1b-b401-20863fa88418,Sampiang,115.331691320297,-8.53710122349279,b5897a2b-3e8f-4f1b-b401-20863fa88418, Sampiang                          ,115.331691320297,-8.53710122349279,Same coordinates across datasets
cross_dataset_same_coords,V3+V4,3aa08528-1e41-4998-b35a-ab7ef7e4a716,Cekeng,115.355111,-8.421528,3aa08528-1e41-4998-b35a-ab7ef7e4a716, Cekeng                            ,115.355111,-8.421528,Same coordinates across datasets
cross_dataset_same_coords,V3+V4,98674d10-91bf-4024-a794-6df14340978c,Sukoyu,121.298861,-2.429444,98674d10-91bf-4024-a794-6df14340978c, Sukoyu                            ,121.298861,-2.429444,Same coordinates across datasets
cross_dataset_same_coords,V3+V4,453123d7-324c-4a3d-8a3b-9945ff99c60a,Pontanoa Bangka,121.306472,-2.433528,453123d7-324c-4a3d-8a3b-9945ff99c60a, Pontanoa Bangka                   ,121.306472,-2.433528,Same coordinates across datasets
cross_dataset_same_coords,V3+V4,8cf35f0c-f327-40dc-8385-bbb1b99d5ed8,Katue,121.033472,-2.590306,8cf35f0c-f327-40dc-8385-bbb1b99d5ed8, Katue                             ,121.033472,-2.590306,Same coordinates across datasets
cross_dataset_same_coords,V3+V4,9ee7869d-3cba-458b-8dc2-5240c5c345ee,Rahampu’u 1 (RHP1),121.216667,-2.455667,9ee7869d-3cba-458b-8dc2-5240c5c345ee, Rahampu’u 1 (RHP1)                ,121.216667,-2.455667,Same coordinates across datasets
cross_dataset_same_coords,V3+V4,34a81252-a293-4cd6-a215-a514fd086b72,Nuha,121.339639,-2.446167,34a81252-a293-4cd6-a215-a514fd086b72, Nuha                              ,121.339639,-2.446167,Same coordinates across datasets
cross_dataset_same_coords,V3+V4,413089d4-d725-4062-bcc2-a809ccb3fe8e,Bola Merajae,121.090639,-2.5945,413089d4-d725-4062-bcc2-a809ccb3fe8e, Bola Merajae                      ,121.090639,-2.5945,Same coordinates across datasets
cross_dataset_same_coords,V3+V4,40c855fd-2f5a-40a9-9bf5-29c413c0236c,Sabbang Loang,120.246278,-2.595306,40c855fd-2f5a-40a9-9bf5-29c413c0236c, Sabbang Loang                     ,120.246278,-2.595306,Same coordinates across datasets
cross_dataset_same_coords,V3+V4,c62a4f29-e73b-4eaf-a667-56f368b5e880,Gua Baiya,119.599444,-4.840556,c62a4f29-e73b-4eaf-a667-56f368b5e880, Gua Baiya                         ,119.599444,-4.840556,Same coordinates across datasets
cross_dataset_same_coords,V3+V4,3998177c-888b-4052-b469-7b75e08e76e9,Gua Batang Lamara,119.595556,-4.848889,3998177c-888b-4052-b469-7b75e08e76e9, Gua Batang Lamara                 ,119.595556,-4.848889,Same coordinates across datasets
cross_dataset_same_coords,V3+V4,34eec858-82f0-4a42-8f04-30f281af1bc7,Gua Bujung,119.6,-4.84,34eec858-82f0-4a42-8f04-30f281af1bc7, Gua Bujung                        ,119.6,-4.84,Same coordinates across datasets
cross_dataset_same_coords,V3+V4,ec9d3428-2981-4f78-8d7f-7bf22e0b93da,Gua Bulu Ribba,119.594444,-4.841667,ec9d3428-2981-4f78-8d7f-7bf22e0b93da, Gua Bulu Ribba                    ,119.594444,-4.841667,Same coordinates across datasets
cross_dataset_same_coords,V3+V4,cf3d8a7f-5ffb-45bc-ad9f-b2d2017b0e3b,Gua Caddia,119.584444,-4.831667,cf3d8a7f-5ffb-45bc-ad9f-b2d2017b0e3b, Gua Caddia                        ,119.584444,-4.831667,Same coordinates across datasets
cross_dataset_same_coords,V3+V4,a694ea1b-8079-4ff0-ae17-7895989fdc7f,Gua Camming Kana,119.593333,-4.841944,a694ea1b-8079-4ff0-ae17-7895989fdc7f, Gua Camming Kana                  ,119.593333,-4.841944,Same coordinates across datasets
cross_dataset_same_coords,V3+V4,66f07aad-1692-4f99-be9b-a99522bf6b90,Gua Carawaii,119.592222,-4.843333,66f07aad-1692-4f99-be9b-a99522bf6b90, Gua Carawaii                      ,119.592222,-4.843333,Same coordinates across datasets
cross_dataset_same_coords,V3+V4,619cf9ba-54b0-4b12-a3b7-d742705544c7,Gua Jempang,119.593056,-4.835833,619cf9ba-54b0-4b12-a3b7-d742705544c7, Gua Jempang                       ,119.593056,-4.835833,Same coordinates across datasets
cross_dataset_same_coords,V3+V4,c743263a-12ff-4599-90ed-a641214981e7,Gua Kajuara,119.596389,-4.836667,c743263a-12ff-4599-90ed-a641214981e7, Gua Kajuara                       ,119.596389,-4.836667,Same coordinates across datasets
