SITE_SOURCE_ID;SITE_NAME;PDF_FILE;PAGE;IMAGE_NAME;IMAGE_IDENTIFIER;IMAGE_URL;WIDTH;HEIGHT;FORMAT;SCORE;REASONS;MANIFEST_URL
drive-634ebe47d27d;Gua Mabitce;GuaMabitce_Hoabinh_Sumatra.pdf;4;p004-01-gua-mabitce.png;drive-634ebe47d27d/p004-01-gua-mabitce.png;/assets/drive-site-images/drive-634ebe47d27d/p004-01-gua-mabitce.png;1276;768;JPEG2000;36;site-name-on-page | locality-context | indonesia-context | site-mention-hits | large-image;/iiif/manifests/sites/drive-634ebe47d27d.json
drive-634ebe47d27d;Gua Mabitce;GuaMabitce_Hoabinh_Sumatra.pdf;6;p006-02-gua-mabitce.png;drive-634ebe47d27d/p006-02-gua-mabitce.png;/assets/drive-site-images/drive-634ebe47d27d/p006-02-gua-mabitce.png;1600;988;PNG;30;site-name-on-page | site-mention-hits | large-image;/iiif/manifests/sites/drive-634ebe47d27d.json
drive-634ebe47d27d;Gua Mabitce;GuaMabitce_Hoabinh_Sumatra.pdf;6;p006-01-gua-mabitce.png;drive-634ebe47d27d/p006-01-gua-mabitce.png;/assets/drive-site-images/drive-634ebe47d27d/p006-01-gua-mabitce.png;1568;986;JPEG2000;30;site-name-on-page | site-mention-hits | large-image;/iiif/manifests/sites/drive-634ebe47d27d.json
drive-8b1bbe552ce2;Gua Dompo-Dompo;1431-Article Text-7111-2-10-20230212.pdf;10;p010-02-gua-dompo-dompo.png;drive-8b1bbe552ce2/p010-02-gua-dompo-dompo.png;/assets/drive-site-images/drive-8b1bbe552ce2/p010-02-gua-dompo-dompo.png;242;154;JPEG2000;28;site-name-on-page | figure-photo-context | site-mention-hits;/iiif/manifests/sites/drive-8b1bbe552ce2.json
drive-8b1bbe552ce2;Gua Dompo-Dompo;1431-Article Text-7111-2-10-20230212.pdf;11;p011-02-gua-dompo-dompo.png;drive-8b1bbe552ce2/p011-02-gua-dompo-dompo.png;/assets/drive-site-images/drive-8b1bbe552ce2/p011-02-gua-dompo-dompo.png;247;145;JPEG2000;28;site-name-on-page | figure-photo-context | site-mention-hits;/iiif/manifests/sites/drive-8b1bbe552ce2.json
drive-8b1bbe552ce2;Gua Dompo-Dompo;1431-Article Text-7111-2-10-20230212.pdf;11;p011-01-gua-dompo-dompo.png;drive-8b1bbe552ce2/p011-01-gua-dompo-dompo.png;/assets/drive-site-images/drive-8b1bbe552ce2/p011-01-gua-dompo-dompo.png;226;151;JPEG2000;28;site-name-on-page | figure-photo-context | site-mention-hits;/iiif/manifests/sites/drive-8b1bbe552ce2.json
drive-8b1bbe552ce2;Gua Dompo-Dompo;1431-Article Text-7111-2-10-20230212.pdf;7;p007-01-gua-dompo-dompo.png;drive-8b1bbe552ce2/p007-01-gua-dompo-dompo.png;/assets/drive-site-images/drive-8b1bbe552ce2/p007-01-gua-dompo-dompo.png;226;143;JPEG2000;28;site-name-on-page | figure-photo-context | site-mention-hits;/iiif/manifests/sites/drive-8b1bbe552ce2.json
drive-8b1bbe552ce2;Gua Dompo-Dompo;1431-Article Text-7111-2-10-20230212.pdf;7;p007-02-gua-dompo-dompo.png;drive-8b1bbe552ce2/p007-02-gua-dompo-dompo.png;/assets/drive-site-images/drive-8b1bbe552ce2/p007-02-gua-dompo-dompo.png;205;143;PNG;28;site-name-on-page | figure-photo-context | site-mention-hits;/iiif/manifests/sites/drive-8b1bbe552ce2.json
drive-8b1bbe552ce2;Gua Dompo-Dompo;1431-Article Text-7111-2-10-20230212.pdf;9;p009-02-gua-dompo-dompo.png;drive-8b1bbe552ce2/p009-02-gua-dompo-dompo.png;/assets/drive-site-images/drive-8b1bbe552ce2/p009-02-gua-dompo-dompo.png;249;136;JPEG2000;22;site-name-on-page | figure-photo-context | site-mention-hits | small-short-side;/iiif/manifests/sites/drive-8b1bbe552ce2.json
drive-60be962fdfc0;Gua Kao;Borneo_Menyingkap_gua_prasejarah.pdf;176;p176-01-gua-kao.jpg;drive-60be962fdfc0/p176-01-gua-kao.jpg;/assets/drive-site-images/drive-60be962fdfc0/p176-01-gua-kao.jpg;1212;701;JPEG;50;site-name-on-page | locality-context | indonesia-context | figure-photo-context | map-context | site-mention-hits | large-image;/iiif/manifests/sites/drive-60be962fdfc0.json
drive-60be962fdfc0;Gua Kao;BorneoRockArt.pdf;18;p018-01-gua-kao.jpg;drive-60be962fdfc0/p018-01-gua-kao.jpg;/assets/drive-site-images/drive-60be962fdfc0/p018-01-gua-kao.jpg;170;215;JPEG;36;site-name-on-page | locality-context | indonesia-context | figure-photo-context | site-mention-hits;/iiif/manifests/sites/drive-60be962fdfc0.json
