IDArkeoGIS;CARAC_NAME;CARAC_LVL1;CARAC_LVL2;CARAC_LVL3;CARAC_LVL4;IdArk;IdPactols;IdAat
434;Production;Metal;Mint workshop;Iron;Local;https://ark.frantiq.fr/ark:/26678/pcrthOtrQhBIUG;13991;http://vocab.getty.edu/page/aat/300061886
435;Production;Metal;Mint workshop;Iron;Regional;https://ark.frantiq.fr/ark:/26678/pcrthOtrQhBIUG;13991;http://vocab.getty.edu/page/aat/300061886
436;Production;Metal;Mint workshop;Silver;;http://ark.frantiq.fr/ark:/26678/pcrtcWoSlbWLE0;13338;http://vocab.getty.edu/page/aat/300011029
437;Production;Metal;Mint workshop;Silver;Local;https://ark.frantiq.fr/ark:/26678/pcrthOtrQhBIUG;13991;http://vocab.getty.edu/page/aat/300061886
438;Production;Metal;Mint workshop;Silver;Regional;https://ark.frantiq.fr/ark:/26678/pcrthOtrQhBIUG;13991;http://vocab.getty.edu/page/aat/300061886
439;Production;Metal;Mint workshop;Bronze;;http://ark.frantiq.fr/ark:/26678/pcrtjzKlry0LZi;13652;http://vocab.getty.edu/page/aat/300010957
440;Production;Metal;Mint workshop;Bronze;Local;https://ark.frantiq.fr/ark:/26678/pcrthOtrQhBIUG;13991;http://vocab.getty.edu/page/aat/300061886
441;Production;Metal;Mint workshop;Bronze;Regional;https://ark.frantiq.fr/ark:/26678/pcrthOtrQhBIUG;13991;http://vocab.getty.edu/page/aat/300061886
442;Production;Metal;Mint workshop;Gold;;http://ark.frantiq.fr/ark:/26678/pcrtuihSl3eSnW;15995;http://vocab.getty.edu/page/aat/300011021
443;Production;Metal;Mint workshop;Gold;Local;https://ark.frantiq.fr/ark:/26678/pcrthOtrQhBIUG;13991;http://vocab.getty.edu/page/aat/300061886
444;Production;Metal;Mint workshop;Gold;Regional;https://ark.frantiq.fr/ark:/26678/pcrthOtrQhBIUG;13991;http://vocab.getty.edu/page/aat/300061886
445;Production;Metal;Mint workshop;Copper;;http://ark.frantiq.fr/ark:/26678/pcrt16pnvNar4g;14200;http://vocab.getty.edu/page/aat/300011020
446;Production;Metal;Mint workshop;Copper;Local;https://ark.frantiq.fr/ark:/26678/pcrthOtrQhBIUG;13991;http://vocab.getty.edu/page/aat/300061886
447;Production;Metal;Mint workshop;Copper;Regional;https://ark.frantiq.fr/ark:/26678/pcrthOtrQhBIUG;13991;http://vocab.getty.edu/page/aat/300061886
448;Production;Metal;Mint workshop;Others;;;;
449;Production;Metal;Mint workshop;Others;Local;https://ark.frantiq.fr/ark:/26678/pcrthOtrQhBIUG;13991;http://vocab.getty.edu/page/aat/300061886
450;Production;Metal;Mint workshop;Others;Regional;https://ark.frantiq.fr/ark:/26678/pcrthOtrQhBIUG;13991;http://vocab.getty.edu/page/aat/300061886
